Crypto,Price,Time
Ethereum,3167.13,2025-11-16 17:21:59.363799
BNB,933.88,2025-11-16 17:21:59.363799
Solana,139.72,2025-11-16 17:21:59.363799
XRP,2.23,2025-11-16 17:21:59.363799
Dogecoin,0.1611,2025-11-16 17:21:59.363799
Bitcoin,95596.38,2025-11-16 17:23:06.149499
Ethereum,3167.13,2025-11-16 17:23:06.149499
BNB,933.88,2025-11-16 17:23:06.149499
Solana,139.72,2025-11-16 17:23:06.149499
XRP,2.23,2025-11-16 17:23:06.149499
Dogecoin,0.1611,2025-11-16 17:23:06.149499
Bitcoin,95597.39,2025-11-16 17:24:11.069473
Ethereum,3167.22,2025-11-16 17:24:11.069473
BNB,933.67,2025-11-16 17:24:11.069473
Solana,139.82,2025-11-16 17:24:11.069473
XRP,2.23,2025-11-16 17:24:11.069473
Dogecoin,0.1613,2025-11-16 17:24:11.069473
Bitcoin,95597.39,2025-11-16 17:25:16.264900
Ethereum,3166.89,2025-11-16 17:25:16.264900
BNB,933.83,2025-11-16 17:25:16.264900
Solana,139.82,2025-11-16 17:25:16.264900
XRP,2.23,2025-11-16 17:25:16.264900
Dogecoin,0.1613,2025-11-16 17:25:16.264900
Bitcoin,95616.87,2025-11-16 17:26:21.384749
Ethereum,3166.89,2025-11-16 17:26:21.384749
BNB,933.83,2025-11-16 17:26:21.384749
Solana,139.82,2025-11-16 17:26:21.384749
XRP,2.23,2025-11-16 17:26:21.384749
Dogecoin,0.1613,2025-11-16 17:26:21.384749
Bitcoin,95508.21,2025-11-16 17:27:27.996189
Ethereum,3163.57,2025-11-16 17:27:27.996189
BNB,932.51,2025-11-16 17:27:27.996189
Solana,139.78,2025-11-16 17:27:27.996189
XRP,2.23,2025-11-16 17:27:27.996189
Dogecoin,0.1612,2025-11-16 17:27:27.996189
Bitcoin,95508.21,2025-11-16 17:28:36.804921
Ethereum,3163.57,2025-11-16 17:28:36.804921
BNB,932.51,2025-11-16 17:28:36.804921
Solana,139.78,2025-11-16 17:28:36.804921
XRP,2.23,2025-11-16 17:28:36.804921
Dogecoin,0.1612,2025-11-16 17:28:36.804921
Bitcoin,95563.19,2025-11-16 17:29:43.954250
Ethereum,3165.46,2025-11-16 17:29:43.954250
BNB,932.51,2025-11-16 17:29:43.954250
Solana,139.78,2025-11-16 17:29:43.954250
XRP,2.23,2025-11-16 17:29:43.954250
Dogecoin,0.1612,2025-11-16 17:29:43.954250
Bitcoin,95563.19,2025-11-16 17:30:50.795967
Ethereum,3165.46,2025-11-16 17:30:50.795967
BNB,932.51,2025-11-16 17:30:50.795967
Solana,139.78,2025-11-16 17:30:50.795967
XRP,2.23,2025-11-16 17:30:50.795967
Dogecoin,0.1612,2025-11-16 17:30:50.795967
Bitcoin,95574.22,2025-11-16 17:31:57.630948
Ethereum,3166.63,2025-11-16 17:31:57.630948
BNB,931.48,2025-11-16 17:31:57.630948
Solana,139.75,2025-11-16 17:31:57.630948
XRP,2.23,2025-11-16 17:31:57.630948
Dogecoin,0.1613,2025-11-16 17:31:57.630948
